AREA_POND	M_0a9	M_10a19	M_20a29	M_30a39	M_40a49	M_50a59	M_60a69	M_70a79	M_80a89	M_90a99	M_100m	F_0a9	F_10a19	F_20a29	F_30a39	F_40a49	F_50a59	F_60a69	F_70a79	F_80a89	F_90a99	F_100m	Total	90a99	40a49	0a9	70a79	80a89	100m	60a69	10a19	20a29	30a39	50a59
3513009003004	1498,0	1782,0	1828,0	1558,0	1187,0	864,0	331,0	135,0	38,0	4,0	0,0	1432,0	1746,0	1894,0	1660,0	1336,0	908,0	395,0	164,0	66,0	12,0	1,0	18839,0	16,0	2523,0	2930,0	299,0	104,0	1,0	726,0	3528,0	3722,0	3218,0	1772,0
3515004005007	1567,0	1770,0	1826,0	1628,0	1148,0	788,0	508,0	161,0	30,0	7,0	0,0	1448,0	1721,0	1990,0	1845,0	1288,0	1061,0	624,0	212,0	60,0	12,0	0,0	19694,0	19,0	2436,0	3015,0	373,0	90,0	0,0	1132,0	3491,0	3816,0	3473,0	1849,0
3515004005006	2146,0	2376,0	2499,0	2215,0	1571,0	1060,0	573,0	150,0	38,0	3,0	1,0	2062,0	2469,0	2694,0	2466,0	1790,0	1284,0	655,0	238,0	79,0	12,0	4,0	26385,0	15,0	3361,0	4208,0	388,0	117,0	5,0	1228,0	4845,0	5193,0	4681,0	2344,0
3515004005005	2349,0	2667,0	2482,0	2342,0	1757,0	1027,0	502,0	130,0	34,0	7,0	2,0	2168,0	2639,0	2605,0	2553,0	1769,0	1170,0	549,0	163,0	68,0	13,0	0,0	26996,0	20,0	3526,0	4517,0	293,0	102,0	2,0	1051,0	5306,0	5087,0	4895,0	2197,0
3510609005001	1951,0	2308,0	2633,0	2289,0	1804,0	1371,0	798,0	356,0	103,0	11,0	0,0	1923,0	2208,0	2517,0	2400,0	2011,0	1597,0	995,0	577,0	203,0	35,0	1,0	28091,0	46,0	3815,0	3874,0	933,0	306,0	1,0	1793,0	4516,0	5150,0	4689,0	2968,0
3510609005002	2982,0	3181,0	4193,0	3866,0	2605,0	2262,0	1440,0	534,0	127,0	11,0	0,0	2975,0	3359,0	4421,0	4115,0	3139,0	3333,0	2078,0	904,0	299,0	44,0	3,0	45871,0	55,0	5744,0	5957,0	1438,0	426,0	3,0	3518,0	6540,0	8614,0	7981,0	5595,0
3513009003008	1644,0	1921,0	1869,0	1709,0	1434,0	957,0	451,0	169,0	53,0	7,0	1,0	1628,0	1891,0	1994,0	1839,0	1579,0	1025,0	513,0	265,0	120,0	35,0	0,0	21104,0	42,0	3013,0	3272,0	434,0	173,0	1,0	964,0	3812,0	3863,0	3548,0	1982,0
3513009003006	2334,0	2603,0	2606,0	2420,0	1862,0	1216,0	610,0	188,0	65,0	3,0	0,0	2281,0	2581,0	2740,0	2565,0	1967,0	1324,0	664,0	265,0	117,0	18,0	0,0	28429,0	21,0	3829,0	4615,0	453,0	182,0	0,0	1274,0	5184,0	5346,0	4985,0	2540,0
3513009003009	1509,0	1776,0	1598,0	1434,0	1215,0	774,0	374,0	161,0	55,0	6,0	0,0	1495,0	1644,0	1494,0	1556,0	1200,0	799,0	386,0	165,0	66,0	9,0	0,0	17716,0	15,0	2415,0	3004,0	326,0	121,0	0,0	760,0	3420,0	3092,0	2990,0	1573,0
3513009003003	1307,0	1415,0	1667,0	1529,0	1168,0	854,0	339,0	145,0	53,0	5,0	0,0	1342,0	1424,0	1743,0	1721,0	1304,0	909,0	427,0	204,0	83,0	10,0	0,0	17649,0	15,0	2472,0	2649,0	349,0	136,0	0,0	766,0	2839,0	3410,0	3250,0	1763,0
3513009003007	1363,0	1505,0	1577,0	1788,0	1343,0	911,0	470,0	182,0	67,0	10,0	0,0	1313,0	1373,0	1624,0	1841,0	1402,0	965,0	555,0	259,0	143,0	23,0	2,0	18716,0	33,0	2745,0	2676,0	441,0	210,0	2,0	1025,0	2878,0	3201,0	3629,0	1876,0
3513009003010	2680,0	3140,0	2752,0	2463,0	2014,0	1435,0	798,0	383,0	105,0	12,0	1,0	2594,0	3176,0	2729,0	2557,0	2142,0	1447,0	806,0	441,0	145,0	26,0	1,0	31847,0	38,0	4156,0	5274,0	824,0	250,0	2,0	1604,0	6316,0	5481,0	5020,0	2882,0
3513009003002	990,0	1142,0	1320,0	1092,0	1106,0	1015,0	536,0	225,0	67,0	8,0	1,0	868,0	1130,0	1363,0	1227,0	1309,0	1123,0	577,0	236,0	141,0	29,0	0,0	15505,0	37,0	2415,0	1858,0	461,0	208,0	1,0	1113,0	2272,0	2683,0	2319,0	2138,0
3513009003001	1026,0	1038,0	971,0	1310,0	1080,0	737,0	390,0	174,0	58,0	5,0	0,0	1021,0	1032,0	1100,0	1526,0	1092,0	756,0	437,0	232,0	77,0	21,0	0,0	14083,0	26,0	2172,0	2047,0	406,0	135,0	0,0	827,0	2070,0	2071,0	2836,0	1493,0
3513801005006	851,0	979,0	1212,0	1039,0	941,0	777,0	384,0	184,0	74,0	9,0	0,0	851,0	960,0	1263,0	1174,0	1024,0	903,0	489,0	322,0	129,0	21,0	1,0	13587,0	30,0	1965,0	1702,0	506,0	203,0	1,0	873,0	1939,0	2475,0	2213,0	1680,0
3513801005008	1041,0	1248,0	1474,0	1314,0	1273,0	865,0	406,0	215,0	76,0	5,0	0,0	1013,0	1285,0	1513,0	1604,0	1416,0	1039,0	536,0	335,0	150,0	22,0	0,0	16830,0	27,0	2689,0	2054,0	550,0	226,0	0,0	942,0	2533,0	2987,0	2918,0	1904,0
3513801005007	852,0	1055,0	1247,0	1180,0	998,0	660,0	415,0	181,0	51,0	6,0	0,0	814,0	1006,0	1346,0	1323,0	1134,0	825,0	551,0	276,0	94,0	16,0	0,0	14030,0	22,0	2132,0	1666,0	457,0	145,0	0,0	966,0	2061,0	2593,0	2503,0	1485,0
3513801005002	1122,0	1241,0	1378,0	1328,0	981,0	556,0	334,0	160,0	36,0	0,0	1,0	1142,0	1221,0	1441,0	1430,0	1037,0	711,0	454,0	190,0	53,0	10,0	0,0	14826,0	10,0	2018,0	2264,0	350,0	89,0	1,0	788,0	2462,0	2819,0	2758,0	1267,0
3513801005001	1360,0	1459,0	1690,0	1388,0	1095,0	720,0	434,0	206,0	48,0	2,0	0,0	1303,0	1458,0	1733,0	1554,0	1229,0	861,0	539,0	259,0	101,0	8,0	2,0	17449,0	10,0	2324,0	2663,0	465,0	149,0	2,0	973,0	2917,0	3423,0	2942,0	1581,0
3513801005015	1412,0	1623,0	1649,0	1565,0	1286,0	843,0	449,0	183,0	59,0	6,0	0,0	1352,0	1516,0	1845,0	1622,0	1439,0	983,0	557,0	291,0	97,0	18,0	0,0	18795,0	24,0	2725,0	2764,0	474,0	156,0	0,0	1006,0	3139,0	3494,0	3187,0	1826,0
3513801005020	1117,0	1306,0	1542,0	1243,0	997,0	755,0	357,0	154,0	54,0	4,0	0,0	1099,0	1280,0	1547,0	1380,0	1106,0	872,0	459,0	266,0	91,0	10,0	0,0	15639,0	14,0	2103,0	2216,0	420,0	145,0	0,0	816,0	2586,0	3089,0	2623,0	1627,0
3513801005019	946,0	1088,0	1433,0	1203,0	877,0	728,0	435,0	191,0	53,0	5,0	1,0	977,0	1051,0	1421,0	1224,0	995,0	879,0	505,0	251,0	65,0	14,0	0,0	14342,0	19,0	1872,0	1923,0	442,0	118,0	1,0	940,0	2139,0	2854,0	2427,0	1607,0
3513801005003	1705,0	2054,0	2402,0	1906,0	1449,0	1118,0	484,0	191,0	33,0	4,0	0,0	1723,0	1956,0	2348,0	2016,0	1691,0	1253,0	589,0	276,0	95,0	13,0	0,0	23306,0	17,0	3140,0	3428,0	467,0	128,0	0,0	1073,0	4010,0	4750,0	3922,0	2371,0
3513801005016	2093,0	2305,0	2579,0	2225,0	1806,0	1020,0	510,0	218,0	70,0	13,0	0,0	1975,0	2313,0	2499,0	2489,0	1860,0	1115,0	576,0	306,0	101,0	14,0	1,0	26088,0	27,0	3666,0	4068,0	524,0	171,0	1,0	1086,0	4618,0	5078,0	4714,0	2135,0
3513801005021	937,0	1061,0	1414,0	1160,0	867,0	695,0	378,0	144,0	43,0	7,0	0,0	938,0	1120,0	1482,0	1179,0	1031,0	812,0	445,0	212,0	79,0	13,0	0,0	14017,0	20,0	1898,0	1875,0	356,0	122,0	0,0	823,0	2181,0	2896,0	2339,0	1507,0
3513801005022	1289,0	1544,0	1786,0	1388,0	1104,0	741,0	324,0	122,0	32,0	3,0	0,0	1302,0	1594,0	1762,0	1468,0	1203,0	870,0	364,0	161,0	62,0	4,0	1,0	17124,0	7,0	2307,0	2591,0	283,0	94,0	1,0	688,0	3138,0	3548,0	2856,0	1611,0
3513801005005	1662,0	1882,0	2044,0	1716,0	1372,0	832,0	313,0	105,0	37,0	7,0	0,0	1673,0	1965,0	1994,0	1836,0	1555,0	833,0	404,0	167,0	66,0	14,0	0,0	20477,0	21,0	2927,0	3335,0	272,0	103,0	0,0	717,0	3847,0	4038,0	3552,0	1665,0
3513801005004	1231,0	1473,0	1794,0	1487,0	1130,0	821,0	348,0	177,0	52,0	3,0	0,0	1271,0	1521,0	1810,0	1622,0	1301,0	927,0	454,0	236,0	73,0	9,0	1,0	17741,0	12,0	2431,0	2502,0	413,0	125,0	1,0	802,0	2994,0	3604,0	3109,0	1748,0
3513801005012	2080,0	2429,0	2434,0	2020,0	1658,0	1074,0	457,0	169,0	45,0	5,0	0,0	2048,0	2518,0	2569,0	2245,0	1861,0	1166,0	536,0	243,0	79,0	12,0	1,0	25649,0	17,0	3519,0	4128,0	412,0	124,0	1,0	993,0	4947,0	5003,0	4265,0	2240,0
3513801005013	1400,0	1532,0	1651,0	1382,0	1022,0	781,0	416,0	124,0	36,0	4,0	0,0	1343,0	1472,0	1712,0	1491,0	1099,0	867,0	421,0	172,0	57,0	6,0	0,0	16988,0	10,0	2121,0	2743,0	296,0	93,0	0,0	837,0	3004,0	3363,0	2873,0	1648,0
3513801005014	1755,0	1989,0	2112,0	1759,0	1343,0	886,0	427,0	138,0	25,0	4,0	1,0	1650,0	2112,0	2200,0	1912,0	1429,0	1003,0	470,0	174,0	59,0	11,0	0,0	21459,0	15,0	2772,0	3405,0	312,0	84,0	1,0	897,0	4101,0	4312,0	3671,0	1889,0
3513801005018	1357,0	1372,0	1696,0	1403,0	992,0	652,0	331,0	109,0	32,0	1,0	0,0	1261,0	1380,0	1772,0	1389,0	1075,0	722,0	418,0	143,0	41,0	13,0	0,0	16159,0	14,0	2067,0	2618,0	252,0	73,0	0,0	749,0	2752,0	3468,0	2792,0	1374,0
3513801005017	1286,0	1514,0	1378,0	1307,0	1078,0	526,0	204,0	88,0	16,0	1,0	0,0	1227,0	1436,0	1443,0	1467,0	1092,0	613,0	257,0	104,0	40,0	4,0	0,0	15081,0	5,0	2170,0	2513,0	192,0	56,0	0,0	461,0	2950,0	2821,0	2774,0	1139,0
3513801005010	1166,0	1231,0	1576,0	1359,0	1003,0	802,0	440,0	146,0	53,0	4,0	1,0	1077,0	1229,0	1645,0	1467,0	1165,0	925,0	498,0	247,0	77,0	7,0	1,0	16119,0	11,0	2168,0	2243,0	393,0	130,0	2,0	938,0	2460,0	3221,0	2826,0	1727,0
3513801005009	938,0	1082,0	1191,0	1179,0	966,0	644,0	326,0	120,0	26,0	6,0	0,0	979,0	1080,0	1247,0	1278,0	1121,0	782,0	412,0	169,0	53,0	8,0	1,0	13608,0	14,0	2087,0	1917,0	289,0	79,0	1,0	738,0	2162,0	2438,0	2457,0	1426,0
3513801005011	1306,0	1587,0	1430,0	1441,0	1130,0	588,0	180,0	56,0	17,0	1,0	0,0	1268,0	1551,0	1433,0	1626,0	1388,0	765,0	276,0	92,0	27,0	3,0	0,0	16165,0	4,0	2518,0	2574,0	148,0	44,0	0,0	456,0	3138,0	2863,0	3067,0	1353,0
3515004005010	1216,0	1362,0	1534,0	1277,0	1114,0	843,0	435,0	182,0	53,0	6,0	0,0	1217,0	1474,0	1668,0	1429,0	1205,0	926,0	499,0	248,0	106,0	14,0	2,0	16810,0	20,0	2319,0	2433,0	430,0	159,0	2,0	934,0	2836,0	3202,0	2706,0	1769,0
