CD_GEOCODI	geosample
355030833000174	IGUATEMI
355030833000175	IGUATEMI
355030833000176	IGUATEMI
355030833000177	IGUATEMI
355030833000178	IGUATEMI
355030833000179	IGUATEMI
355030833000180	IGUATEMI
355030833000181	IGUATEMI
355030833000182	IGUATEMI
355030833000183	IGUATEMI
355030833000184	IGUATEMI
355030833000185	IGUATEMI
355030833000186	IGUATEMI
355030833000187	IGUATEMI
355030833000188	IGUATEMI
355030833000189	IGUATEMI
355030833000190	IGUATEMI
355030833000191	IGUATEMI
355030833000192	IGUATEMI
355030833000193	IGUATEMI
355030833000194	IGUATEMI
355030833000195	IGUATEMI
355030833000196	IGUATEMI
355030833000197	IGUATEMI
355030833000198	IGUATEMI
355030833000199	IGUATEMI
355030833000200	IGUATEMI
355030833000201	IGUATEMI
355030833000202	IGUATEMI
355030833000203	IGUATEMI
355030833000204	IGUATEMI
355030833000205	IGUATEMI
355030833000206	IGUATEMI
355030833000207	IGUATEMI
355030833000208	IGUATEMI
355030833000209	IGUATEMI
355030833000210	IGUATEMI
355030833000211	IGUATEMI
355030833000212	IGUATEMI
355030833000213	IGUATEMI
355030833000214	IGUATEMI
355030833000215	IGUATEMI
355030833000216	IGUATEMI
355030833000217	IGUATEMI
355030833000218	IGUATEMI
355030873000001	SÃO MATEUS
355030873000002	SÃO MATEUS
355030873000003	SÃO MATEUS
355030873000004	SÃO MATEUS
355030873000005	SÃO MATEUS
355030873000006	SÃO MATEUS
355030873000007	SÃO MATEUS
355030873000008	SÃO MATEUS
355030873000009	SÃO MATEUS
355030873000010	SÃO MATEUS
355030873000011	SÃO MATEUS
355030873000012	SÃO MATEUS
355030873000013	SÃO MATEUS
355030873000014	SÃO MATEUS
355030873000015	SÃO MATEUS
355030873000016	SÃO MATEUS
355030873000017	SÃO MATEUS
355030873000018	SÃO MATEUS
355030873000019	SÃO MATEUS
355030873000020	SÃO MATEUS
355030873000021	SÃO MATEUS
355030873000022	SÃO MATEUS
355030873000023	SÃO MATEUS
355030873000024	SÃO MATEUS
355030873000025	SÃO MATEUS
355030873000026	SÃO MATEUS
355030873000027	SÃO MATEUS
355030873000028	SÃO MATEUS
355030873000029	SÃO MATEUS
355030873000030	SÃO MATEUS
355030873000031	SÃO MATEUS
355030873000032	SÃO MATEUS
355030873000033	SÃO MATEUS
355030873000034	SÃO MATEUS
355030873000035	SÃO MATEUS
355030873000036	SÃO MATEUS
355030873000037	SÃO MATEUS
355030873000038	SÃO MATEUS
355030873000039	SÃO MATEUS
355030873000040	SÃO MATEUS
355030873000041	SÃO MATEUS
355030873000042	SÃO MATEUS
355030873000043	SÃO MATEUS
355030873000044	SÃO MATEUS
355030873000045	SÃO MATEUS
355030873000046	SÃO MATEUS
355030873000047	SÃO MATEUS
355030873000048	SÃO MATEUS
355030873000049	SÃO MATEUS
355030873000050	SÃO MATEUS
355030873000051	SÃO MATEUS
355030873000052	SÃO MATEUS
355030873000053	SÃO MATEUS
355030873000054	SÃO MATEUS
355030873000055	SÃO MATEUS
355030873000056	SÃO MATEUS
355030873000057	SÃO MATEUS
355030873000058	SÃO MATEUS
355030873000059	SÃO MATEUS
355030873000060	SÃO MATEUS
355030873000061	SÃO MATEUS
355030873000062	SÃO MATEUS
355030873000063	SÃO MATEUS
355030873000064	SÃO MATEUS
355030873000065	SÃO MATEUS
355030873000066	SÃO MATEUS
355030873000067	SÃO MATEUS
355030873000068	SÃO MATEUS
355030873000069	SÃO MATEUS
355030873000070	SÃO MATEUS
355030873000071	SÃO MATEUS
355030873000072	SÃO MATEUS
355030873000073	SÃO MATEUS
355030873000074	SÃO MATEUS
355030873000075	SÃO MATEUS
355030873000076	SÃO MATEUS
355030873000077	SÃO MATEUS
355030873000078	SÃO MATEUS
355030873000079	SÃO MATEUS
355030873000080	SÃO MATEUS
355030873000081	SÃO MATEUS
355030873000082	SÃO MATEUS
355030873000083	SÃO MATEUS
355030873000084	SÃO MATEUS
355030873000085	SÃO MATEUS
355030873000086	SÃO MATEUS
355030873000087	SÃO MATEUS
355030873000088	SÃO MATEUS
355030873000089	SÃO MATEUS
355030873000090	SÃO MATEUS
355030873000091	SÃO MATEUS
355030873000092	SÃO MATEUS
355030873000093	SÃO MATEUS
355030873000094	SÃO MATEUS
355030873000095	SÃO MATEUS
355030873000096	SÃO MATEUS
355030873000097	SÃO MATEUS
355030873000098	SÃO MATEUS
355030873000099	SÃO MATEUS
355030873000100	SÃO MATEUS
355030873000101	SÃO MATEUS
355030873000102	SÃO MATEUS
355030873000103	SÃO MATEUS
355030873000104	SÃO MATEUS
355030873000105	SÃO MATEUS
355030873000106	SÃO MATEUS
355030873000107	SÃO MATEUS
355030873000108	SÃO MATEUS
355030873000109	SÃO MATEUS
355030873000110	SÃO MATEUS
355030873000111	SÃO MATEUS
355030873000112	SÃO MATEUS
355030873000113	SÃO MATEUS
355030873000114	SÃO MATEUS
355030873000115	SÃO MATEUS
355030873000116	SÃO MATEUS
355030873000117	SÃO MATEUS
355030873000118	SÃO MATEUS
355030873000119	SÃO MATEUS
355030873000120	SÃO MATEUS
355030873000121	SÃO MATEUS
355030873000122	SÃO MATEUS
355030873000123	SÃO MATEUS
355030873000124	SÃO MATEUS
355030873000125	SÃO MATEUS
355030873000126	SÃO MATEUS
355030873000127	SÃO MATEUS
355030873000128	SÃO MATEUS
355030873000129	SÃO MATEUS
355030873000130	SÃO MATEUS
355030873000131	SÃO MATEUS
355030873000132	SÃO MATEUS
355030873000133	SÃO MATEUS
355030873000134	SÃO MATEUS
355030873000135	SÃO MATEUS
355030873000136	SÃO MATEUS
355030873000137	SÃO MATEUS
355030873000138	SÃO MATEUS
355030873000139	SÃO MATEUS
355030873000140	SÃO MATEUS
